bicycle,car,public_transportation,walked,bicycle_percent,car_percent,public_transportation_percent,walked_percent
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
59.0,2489.0,9137.0,1313.0,0.4,17.3,63.4,9.1
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
2589.0,164218.0,324274.0,41772.0,0.4,28.4,56.1,7.2
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
129.0,5176.0,20720.0,3420.0,0.4,16.0,64.0,10.6
